date,,team,,
Year,Month,A,B,C
1370,1,34.22406242,11.00098945,36.76710468
1370,2,42.28394821,15.17540492,32.6019501
1370,3,14.81094745,35.63825845,36.94480332
1370,4,35.01042487,33.97655266,23.09341059
1370,5,12.23992687,22.27814754,21.46626009
1370,6,22.342244,25.60059257,17.24133991
1370,7,15.67078558,24.92143572,16.49570432
1370,8,36.23607137,40.4869862,16.81786524
1370,9,29.76872592,33.80426446,31.61399201
1370,10,21.85106663,38.11737792,24.24143734
1370,11,14.15981975,8.416308202,10.70414714
1370,12,30.63981282,16.37578479,17.99961384
1371,1,28.52881564,39.18957327,17.77446226
1371,2,16.55825026,14.27406147,29.20406088
1371,3,28.37401877,20.61969999,43.09888911
1371,4,23.66366315,27.30693712,10.71668579
1371,5,42.46882191,35.32645723,30.55011053
1371,6,34.56102442,14.84395242,18.46574909
1371,7,35.47831178,28.09431844,37.32599018
1371,8,23.42512845,34.08021959,23.39082557
1371,9,36.26544895,22.66979676,29.70231248
1371,10,35.68662798,27.8108545,16.84231226
1371,11,17.19624457,34.72168721,31.14766821
1371,12,30.04318987,29.88573118,38.89541039
1372,1,28.41961125,16.41207959,37.44024435
1372,2,33.73568031,16.99640283,23.21086048
1372,3,36.80846181,33.23242015,11.2817928
1372,4,22.29339353,21.21067886,33.50332733
1372,5,17.63321673,39.717745,30.25792939
1372,6,29.82523951,16.68039642,29.66684326
1372,7,27.74070091,27.71916344,42.89307934
1372,8,16.72959065,16.72587193,23.79208073
1372,9,14.9262806,41.70590596,11.95503037
1372,10,35.71770692,16.41810584,30.91185407
1372,11,28.67554097,26.80251372,43.77494426
1372,12,35.60400371,27.63803717,24.03264267
1373,1,11.69373317,35.38934036,22.5016745
1373,2,17.02804508,36.90663697,36.26173582
1373,3,36.76223909,22.91367035,18.81837643
1373,4,16.72904006,15.72250422,18.91007972
1373,5,22.89998092,16.18592917,36.22801282
1373,6,23.06376459,22.94796017,36.06308561
1373,7,9.928503967,29.43574577,18.28374051
1373,8,36.79187633,32.35735018,31.58233497
1373,9,22.22329039,15.26059614,30.62621565
1373,10,33.21672439,32.09587795,37.34220075
1373,11,23.32981867,16.65951972,30.85543743
1373,12,22.59516459,9.587039165,17.61947939
1374,1,27.67068456,31.02923262,22.67934173
1374,2,22.63658448,16.5625839,43.89496174
1374,3,10.20015675,35.24266551,17.3897909
1374,4,37.64636838,28.15174996,26.94294632
1374,5,36.20354048,29.47160925,20.3857339
1374,6,37.8729902,32.24492497,18.54678125
1374,7,29.9149384,9.301279944,36.34596405
1374,8,39.5235348,35.86433004,36.54234035
1374,9,24.92568231,38.98633598,31.20570456
1374,10,11.42185451,28.31065774,32.0137679
1374,11,21.32248411,33.21290912,24.83470944
1374,12,23.37180961,29.7054839,12.68474374
1375,1,17.76483585,20.62108023,17.52178038
1375,2,27.49060831,34.51413273,30.350756
1375,3,16.01289684,21.99678277,25.6576653
1375,4,16.64350886,36.18447927,20.11084683
1375,5,29.33162734,15.95168442,30.32474442
